px_est	py_est	vel_abs_est	yaw_angle_est	yaw_rate_est	px_meas	py_meas	px_gt	py_gt	vx_gt	vy_gt	nis_lidar	nis_radar
8.462918745489562	0.24346236596519058	-3.04035	0.0287602	0.0	8.462918745489562	0.24346236596519058	8.6	0.25	-3.00029	0.0	0.0	0.0
8.439894323086445	0.25121381357426065	-2.8514348499197424	0.024081192822137405	-0.0015982722550829161	8.44818	0.251553	8.45	0.25	-3.00027	0.0	0.3156960618750945	0.0
8.212572604549296	0.2341931084423982	-2.3954769250927503	0.037680957210553104	0.011327694784252216	8.567594531394107	0.24194289765518065	8.45	0.25	0.0	0.0	0.3156960618750945	1.7095895099943008
8.379140957522434	0.25057110491657086	-0.7569403654610181	0.032934519721447654	0.007634042656423205	8.45582	0.253997	8.45	0.25	0.0	0.0	4.340863239313136	1.7095895099943008
7.814793704861232	0.23406760136017116	-1.2516399889343073	0.027213797753221136	-0.0018498822532716595	8.425440946901976	0.2540424829975034	8.35	0.25	-1.81979	0.0	4.340863239313136	10.160829471974541
8.11072657635467	0.24520915221133008	-0.7100790790337597	0.016364403755772597	-0.009983311853049136	8.23962	0.24916	8.25	0.25	-1.81978	0.0	5.388489713969382	10.160829471974541
7.126822619029449	0.18633698393900924	-2.279354101842434	0.1042644276953707	0.06105518002585797	7.932863346041569	0.18839093139046836	8.05	0.2	-3.99976	-0.99994	5.388489713969382	51.03725536364601
7.529792471122009	0.13020879816980108	-1.436615483238614	0.2026052108883109	0.11914385083458323	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	23.45488636728081	51.03725536364601
6.66321366592125	0.15653929567231203	-2.11608842775662	-0.12293036816841807	-0.3236271673589729	7.612685516901352	0.15581764714048885	7.7	0.15	-2.99982	0.0	23.45488636728081	29.033403277463336
7.080734260148523	0.24276679656146147	-0.8826940432283814	-0.3650132685464189	-0.47424072579627075	7.54016	0.159641	7.55	0.15	-2.99982	0.0	38.421147818326645	29.033403277463336
6.659244540749412	0.16512957936457662	-1.0529387282672398	-0.003802271423170911	0.17052249870952552	7.508154159002526	0.09538271464508095	7.45	0.100001	-1.8165	-0.908239	38.421147818326645	19.50857370803142
7.069536900726744	0.025311637807908877	-0.1425151631478927	0.24039966559562834	0.3316670234633693	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	14.733347654885586	19.50857370803142
6.467889174834492	-0.05331991024872793	-1.4721719330231646	0.13802555646476672	0.12672099624655922	7.205978315443176	0.004927246972609064	7.2	9.49949e-7	-2.72851	-0.909507	14.733347654885586	44.930795745981996
6.841767377867303	-0.08063186366369536	-0.837077841586694	0.31790902733978593	0.1909042334273256	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	11.847887533633761	44.930795745981996
